Id,Name,pagesNumber,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating
1776,Cameron Townsend: Good News in Every Language (Christian Heroes: Then & Now),221,total:534,YWAM Publishing,44,2001,,Janet Benge,4
1777,Einstein's Heroes: Imagining the World Through the Language of Mathematics,323,total:94,"Oxford University Press, USA",8,2006,,Robyn Arianrhod,3.73
1779,The Heroes of Shakespeare's Tragedies,204,total:50,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften",0,1988,,Victor L. Cahn,3.04
1780,The Refining Fire: Herakles and Other Heroes in T.S. Eliot's Works,188,total:0,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften",0,1992,,Laura Elizabeth Niesen De Abruna,0
1781,Homeric Responses,100,total:12,University of Texas Press,0,2003,,Gregory Nagy,4.42
1783,Homer's Text and Language,224,total:6,University of Illinois Press,0,2004,,Gregory Nagy,4.5
1785,The Best of the Achaeans: Concepts of the Hero in Archaic Greek Poetry,424,total:46,Johns Hopkins University Press,5,1998,,Gregory Nagy,4.17
1786,Homeric Questions,180,total:26,University of Texas Press,2,1996,,Gregory Nagy,4.23
1787,Antiquities,481,total:2,The New Press,0,2001,,Gregory Nagy,4
1789,Greek Literature in the Classical Period: The Prose of Historiography and Oratory: Greek Literature,410,total:2,Routledge,0,2001,,Gregory Nagy,5
1790,Greek Literature in the Roman Period and in Late Antiquity: Greek Literature,414,total:1,Routledge,0,2001,,Gregory Nagy,5
1791,Greek Literature in the Byzantine Period: Greek Literature,468,total:2,Routledge,0,2001,,Gregory Nagy,5
1792,"Preliterate Period (Greek Literature, Volume 1)",350,total:1,,0,2001,,Gregory Nagy,5
1793,"Roman Period (Greek Literature, Volume 6)",350,total:4,,0,2001,,Gregory Nagy,4
1794,Greek Dialects and the Transformation of an Indo-European Process,214,total:2,Harvard University Press,0,1970,,Gregory Nagy,5
1797,Pindar's Homer: The Lyric Possession of an Epic Past,414,total:12,Johns Hopkins University Press,1,1994,,Gregory Nagy,4.58
1798,Plato's Rhapsody and Homer's Music: The Poetics of the Panathenaic Festival in Classical Athens,136,total:3,Harvard University Press,0,2002,,Gregory Nagy,4.67
1799,"Language, Sexuality, Narrative: The Oresteia",328,total:3,Cambridge University Press,1,2004,,Simon Goldhill,3.33
1800,"Love, Sex & Tragedy: How the Ancient World Shapes Our Lives",345,total:162,University of Chicago Press,16,2005,eng,Simon Goldhill,3.78
1801,Reading Greek Tragedy,302,total:32,Cambridge University Press,3,1986,eng,Simon Goldhill,4.12
1802,The Poet's Voice: Essays on Poetics and Greek Literature,384,total:6,Cambridge University Press,1,1991,,Simon Goldhill,4
1804,Who Needs Greek? Contests in the Cultural History of Hellenism,334,total:10,Cambridge University Press,1,2002,eng,Simon Goldhill,3.4
1805,Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),212,total:11,Cambridge University Press,0,1995,eng,Simon Goldhill,3.73
1806,Greek Rhetoric Before Aristotle,159,total:10,Waveland Press,1,1993,,Richard Leo Enos,3.5
1807,"History of the Progressive Party, 1912-1916",305,total:0,Greenwood Press,0,1978,,Amos Richards Eno Pinchot,0
1808,Correctional Case Management,250,total:1,Routledge,0,1996,,Richard Enos,3
1810,The Literate Mode of Cicero's Legal Rhetoric,144,total:1,Southern Illinois University Press,0,1987,,Richard Leo Enos,5
1811,Oral and Written Communication: Historical Approaches,264,total:0,"Sage Publications, Inc",0,1990,,Richard Leo Enos,0
1812,Not One More Death,80,total:60,Verso,6,2006,,Brian Eno,3.8
1813,Strauss: Arabella (Eno 30),112,total:1,Calder Publications,0,1985,,Richard Strauss,3
1814,2012: The Return of Quetzalcoatl,408,total:1695,Tarcher,218,2006,en-US,Daniel Pinchbeck,3.42
1815,Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,336,total:3037,Three Rivers Press (CA),167,2003,en-US,Daniel Pinchbeck,4.06
1816,A Psychonaut's Guide to the Invisible Landscape: The Topography of the Psychedelic Experience,128,total:33,Park Street Press,2,2006,,Dan Carpenter,3.55
1818,Jeff Koons/Andy Warhol: Flowers,111,total:4,Gagosian Gallery,0,2003,,Gagosian Gallery,4.25
1822,Open City (Issue #12),250,total:1,"Grove Press, Open City Books",0,2001,,Open City Magazine,3
1823,Them: Adventures with Extremists,336,total:15670,Simon  Schuster,837,2003,eng,Jon Ronson,3.95
1824,The Men Who Stare at Goats,259,total:14446,Simon  Schuster,909,2006,eng,Jon Ronson,3.61
1826,Maximum Accessibility: Making Your Web Site More Usable for Everyone: Making Your Web Site More Usable for Everyone,640,total:13,Addison-Wesley Professional,0,2002,,John M. Slatin,3.92
1828,Amazing Rain Forest (Discovering the Rain Forest),24,total:4,Rourke Publishing (FL),0,1994,,Lynn M. Stone,4.25
1829,Splish Splash!: A Book about Rain,24,total:22,Picture Window Books,6,2003,,Josepha Sherman,3.41
1830,Totally Amazing Rain Forests,32,total:3,Golden Books,1,1998,,Kate Graham,4.67
1831,Amazing Rain,100,total:77,Soft Skull Press,7,2004,,Sam  Brown,4.34
1832,Kids' Crafts: Stamp It!: 50 Amazing Projects to Make,112,total:2,Lark Books,0,2005,,Joe Rhatigan,3.5
1833,Out-of-This-World Astronomy: 50 Amazing Activities  Projects,128,total:5,Lark Books,0,2003,,Joe Rhatigan,3.8
1834,Gecko Gathering PB,27,total:1,Soundprints,0,2004,,Vanessa Giancamilli,3
1835,The Practice of the Wild: Essays,208,total:2146,Counterpoint,3,2003,,Gary Snyder,4.2
1836,Practice of the Wild,190,total:2146,North Point Press,86,1990,,Gary Snyder,4.2
1839,"Guns, Germs and Steel: The Fates of Human Societies",518,total:273001,W.W. Norton,406,2005,eng,Jared Diamond,4.03
1840,"Guns, Germs, and Steel (SparkNotes B&N Reader's Companion)",72,total:59,Barnes  Noble,4,2003,,SparkNotes,4.03
1843,Caught Inside: A Surfer's Year on the California Coast,256,total:658,North Point Press,61,1997,eng,Daniel Duane,3.87
1845,Into the Wild,207,total:839530,Anchor Books,18404,1997,eng,Jon Krakauer,3.98
1846,Wild at Heart: Discovering the Secret of a Man's Soul,256,total:65625,Thomas Nelson,1508,2001,eng,John Eldredge,3.92
1848,Wild Swans: Three Daughters of China,562,total:85588,Simon  Schuster,4335,2003,eng,Jung Chang,4.26
1849,"Wild Fire (John Corey, #4)",519,total:23572,Warner Books (NY),957,2006,eng,Nelson DeMille,4.01
1850,Born to Be Wild,354,total:2785,Jove,117,2006,eng,Catherine Coulter,3.78
1851,Wild at Heart Field Manual: A Personal Guide to Discover the Secret of Your Masculine Soul,288,total:245,Thomas Nelson,4,2002,,John Eldredge,4.08
1852,The Call of the Wild,172,total:320987,Scholastic,7552,2001,eng,Jack London,3.87
1853,Wild About Books,40,total:4601,Alfred A. Knopf Books for Young Readers,380,2004,eng,Judy Sierra,4.17
1854,Designing for Interaction: Creating Smart Applications and Clever Devices,231,total:844,New Riders Publishing,28,2006,,Dan Saffer,3.93
1856,In Web Design for Libraries,196,total:9,Libraries Unlimited,2,2006,eng,Charles P. Rubenstein,2.67
1859,Web-Based Instruction: A Guide for Libraries,194,total:20,American Library Association,0,2001,,Susan Sharpless Smith,3.65
1860,Web Production for Writers and Journalists (Media Skills),176,total:0,Routledge,1,2002,,Jason Whittaker,0
1861,The Plastic Film and Foil Web Handling Guide,192,total:3,CRC Press,0,2002,,William E. Hawkins,3.67
1862,Creating Database-Backed Library Web Pages: Using Open Source Tools,268,total:2,American Library Association,0,2006,,Stephen R. Westman,3
1868,Observing the User Experience: A Practitioner's Guide to User Research,576,total:615,Morgan Kaufmann Publishers,13,2003,,Mike Kuniavsky,4
1869,Nickel and Dimed: On (Not) Getting by in America,240,total:174509,Owl Books (Henry Holt),5796,2002,eng,Barbara Ehrenreich,3.63
1870,Nickel and Dimed,67,total:136,Dramatists Play Service,10,2006,,Joan Holden,3.26
1877,The History of Sexuality 1: An Introduction,168,total:17299,Pantheon Books (NY),3,1978,eng,Michel Foucault,4.04
1879,"The History of Sexuality, Volume 1: The Will to Knowledge",168,total:17299,Penguin,29,1998,eng,Michel Foucault,4.04
1880,Intimate Matters: A History of Sexuality in America,466,total:903,University of Chicago Press,29,1998,,John D'Emilio,4.04
1882,Histories of Sexuality: Antiquity to Sexual Revolution,288,total:17,Routledge,0,2004,,Stephen Garton,3.65
1883,"The History of Sexuality, Volume 2: The Use of Pleasure",304,total:3301,Penguin,2,1998,eng,Michel Foucault,4.08
1884,The Gulf War Did Not Take Place,96,total:428,Indiana University Press,29,1995,,Jean Baudrillard,3.61
1885,Pride and Prejudice,279,total:2821508,Modern Library,42165,2000,eng,Jane Austen,4.26
1887,The Making of Pride and Prejudice,128,total:4387,Penguin Books Ltd,100,1995,eng,Sue Birtwistle,4.45
1889,Pride & Prejudice,392,total:2821508,Penguin Books,214,2005,eng,Jane Austen,4.26
1890,Cliff's Notes on Austen's Pride and Prejudice,96,total:37,Cliffs Notes,7,2000,,Marie Kalil,3.89
1892,The Annotated Pride & Prejudice,739,total:2821508,Pheasant Books,27,2004,,Jane Austen,4.26
1894,Under the Banner of Heaven: A Story of Violent Faith,399,total:149715,Anchor Books,1030,2003,eng,Jon Krakauer,4
1895,High Exposure: An Enduring Passion for Everest and Unforgiving Places,320,total:3260,Simon  Schuster,95,2000,,David Breashears,3.9
1896,Iceland: Land of the Sagas,160,total:333,Villard,40,1998,eng,David  Roberts,3.71
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,368,total:374530,Anchor Books,11826,1999,eng,Jon Krakauer,4.17
1900,Jon Krakauer's Adventure on Mt. Everest,48,total:37,Children's Press(CT),0,2002,,Scott P. Werther,4.05
1902,In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,288,total:2252,Modern Library,137,2001,eng,Valerian Albanov,4.01
1903,How to Meet Beautiful Women,96,total:2,Doyle Studio Press,1,1997,,Kevin Doyle,5
1906,Flat Earth? Round Earth?,54,total:6,Prometheus Books,0,2002,,Theresa Martin,4
1907,Inventing the Flat Earth: Columbus and Modern Historians,160,total:92,Praeger,14,1997,,Jeffrey Burton Russell,4.08
1909,"Delirium's Mistress (Flat Earth, #4)",416,total:671,DAW,14,1986,,Tanith Lee,4.23
1911,The World Is Flat: A Brief History of the Twenty-first Century,616,total:94506,"Farrar, Straus and Giroux (NY)",2807,2006,eng,Thomas L. Friedman,3.68
1913,The World Is Flat?: A Critical Analysis of the New York Times Bestseller,132,total:51,Meghan-Kiffer Press,9,2006,,Ronald Aronica,3.82
1914,La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,495,total:94506,Planeta Publishing,0,2006,spa,Thomas L. Friedman,3.68
1915,Is Your World Flat?: Experiencing Emotional Awareness in an Upwards-Moving Cycle,184,total:0,iUniverse,0,2006,,Usha Berfelo,0
1918,The Long-Distance Relationship Survival Guide: Secrets and Strategies from Successful Couples Who Have Gone the Distance,208,total:197,Ten Speed Press,22,2006,,Chris Bell,3.47
1920,"Separated By Duty, United In Love",208,total:82,Citadel,10,2006,,Shellie Vandevoorde,3.66
1922,The Long Distance Romance Guide: A Handbook of Encouragement to Help You Stay Close When Apart,144,total:5,Writers Club Press,0,2000,,Leslie Karsner,3.2
1923,Long Distance Caregiving: A Survival Guide for Faraway Caregivers,122,total:2,Impact Publishers,0,1996,,Angela Heath,5
1925,The Avalanche Handbook,342,total:55,Mountaineers Books,1,2006,eng,David McClung,4.09
1926,ABCs of Avalanche Safety,141,total:9,Mountaineers Books,0,2003,,Sue A. Ferguson,4.33
1927,"Avalanche Safety: For Skiers, Climbers & Snowboarders",192,total:1,Rocky Mountain Books Incorporated,0,1999,,Tony Daffern,5
1928,Avalanche: Heretical Reflections on the Dark and the Light,368,total:30,Wellspring/Ballantine,2,1992,,W. Brugh Joy,4
1929,Secrets of the Snow: Visual Clues to Avalanche and Ski Conditions,112,total:6,University of Washington Press,2,2001,,Edward R. Lachapelle,4.5
1930,Avalanche,128,total:35,Coffee House Press,0,1996,,Quincy Troupe,3.69
1932,An Avalanche of Anoraks,228,total:5,Three Rivers Press,0,1994,,Robert J. White,3.2
1933,Powderguide: Managing Avalanche Risk,190,total:1,Mountain Sports Press,0,2003,,Tobias Kurzeder,4
1934,Little Women,449,total:1595807,Signet Classics,19521,2004,eng,Louisa May Alcott,4.08
1935,"Little Women (Little Women, #1)",536,total:1595807,Sterling,132,2004,eng,Louisa May Alcott,4.08
1939,Growing Little Women: Capturing Teachable Moments with Your Daughter,200,total:28,Moody Publishers,1,1997,,Donna Miller,4.21
1943,Ghostly Tales (Portraits of Little Women),192,total:34,Yearling,2,2002,,Susan Beth Pfeffer,3.85
1944,Jo's Story (Portraits of Little Women),112,total:261,Yearling,0,2001,,Susan Beth Pfeffer,3.7
1946,"Little Women, Little Men, Jo's Boys",1064,total:5174,Library of America,88,2005,eng,Louisa May Alcott,4.34
1948,Little Women (SparkNotes Literature Guide),72,total:18,SparkNotes,0,2002,,SparkNotes,4.11
1949,Jo's Troubled Heart (Madame Alexander Little Women Journals),119,total:23,Avon Books,2,1999,,Charlotte Emerson,3.65
1950,Meg's Dearest Wish (Madame Alexander Little Women Journals),118,total:20,Avon Books,0,1999,,Charlotte Emerson,3.85
1951,Beth Makes a Friend (Portraits of Little Women),112,total:46,Delacorte Books for Young Readers,1,1998,,Susan Beth Pfeffer,3.65
1955,A Tale of Two Cities,496,total:781949,Simon  Schuster,28,2004,eng,Charles Dickens,3.84
1958,A Tale of Two Cities: Charles Dickens,96,total:23,Spark Publishing,1,2002,eng,SparkNotes,4
1972,Den of Thieves,592,total:10447,Simon  Schuster,219,1992,en-US,James B. Stewart,4.16
1976,"Den of Thieves (Cat Royal, #3)",416,total:1651,Egmont Books Ltd,61,2007,eng,Julia Golding,4.21
1978,The Voice of Reason: Essays in Objectivist Thought,368,total:782,NAL,25,1990,,Ayn Rand,4.12
1979,My Years with Ayn Rand,432,total:636,Jossey-Bass,17,1999,,Nathaniel Branden,3.78
1980,The Ayn Rand Lexicon: Objectivism from A to Z,560,total:545,New American Library,18,1988,,Ayn Rand,4.09
1981,The Art of Fiction: A Guide for Writers and Readers,192,total:756,New American Library,78,2000,,Ayn Rand,4.01
1982,Four Novels: Great Expectations / Hard Times / A Christmas Carol / A Tale of Two Cities,848,total:3462,Gramercy,2,1993,eng,Charles Dickens,4.3
1983,Hard Times,368,total:51756,Barnes  Noble Classics,7,2004,,Charles Dickens,3.52
1984,Bleak House,887,total:91681,Modern Library,146,2002,eng,Charles Dickens,4.01
1985,David Copperfield,928,total:192313,Signet,17,2006,eng,Charles Dickens,3.99
1986,Oliver Twist,512,total:304540,Signet,31,2005,,Charles Dickens,3.87
1987,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,416,total:5139,Touchstone,505,1994,en-US,Daniel Pool,3.85
1988,Charles Dickens,224,total:612,Viking,81,2002,eng,Jane Smiley,3.82
1989,Great Expectations,3,total:622146,Penguin Audio,25,2005,,Charles Dickens,3.77
1990,Martin Chuzzlewit,830,total:14508,Penguin Classics,396,1999,eng,Charles Dickens,3.83
1991,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),176,total:5183,Basic Books,281,1998,eng,Jared Diamond,3.71
1992,The Rise And Fall Of The Third Chimpanzee: how our animal heritage affects the way we live,368,total:20806,Vintage,49,1992,,Jared Diamond,4.06
1993,The Third Chimpanzee: The Evolution & Future of the Human Animal,407,total:20806,HarperCollins Publishers,1,1992,eng,Jared Diamond,4.06
1996,J. K. Rowling: A Biography,160,total:92,Greenwood Publishing Group,13,2003,,Connie Ann Kirk,3.47
1997,The J.K. Rowling Encyclopedia,374,total:20,Greenwood Press,0,2006,,Connie Ann Kirk,4.3
1999,J.K.Rowling,112,total:159,Lerner Publications,10,2005,eng,Colleen Sexton,3.85
2001,J.K. Rowling,32,total:97,Mitchell Lane Publishers,1,2005,,Ann Gaines,4.12
2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,240,total:12706,Arthur A. Levine,140,2001,eng,J.K. Rowling,4.4
2004,J.K. Rowling's Harry Potter Novels: A Reader's Guide,96,total:79,Bloomsbury Academic,9,2001,eng,Philip Nel,3.59
2007,Dave Thomas: Honesty Pays,48,total:1,Enslow Elementary,0,2006,,Barbara Kramer,3
2008,Dave's Way,256,total:124,Berkley,7,1992,,Rex David Thomas,3.99
2010,The Santaroga Barrier,256,total:1863,Tor Books,87,2002,eng,Frank Herbert,3.66
2011,"The Dosadi Experiment (ConSentiency Universe, #2)",320,total:6723,Tor Books,153,2002,eng,Frank Herbert,3.81
2014,"The Lazarus Effect (The Pandora Sequence, #2)",393,total:3398,Ace,56,1987,,Frank Herbert,3.75
2015,The Eyes of Heisenberg,192,total:1749,Tor Books,77,2002,eng,Frank Herbert,3.43
2018,The Ecclesiazusae (or Women in Council),80,total:810,Digireads.com,16,2006,eng,Aristophanes,3.76
2019,The Birds (Methuen Drama),96,total:3,Bloomsbury Methuen Drama,1,2002,en-GB,Sean O'Brien,2.67
2020,Aristophanes' Old-And-New Comedy: Volume I: Six Essays in Perspective,586,total:1,University of North Carolina Press,0,1987,,Kenneth J. Reckford,5
2022,The Frogs,88,total:5787,Digireads.com,1,2005,en-US,Aristophanes,3.81
2023,"The Mask of Comedy: Class, Gender, and Resistance",300,total:1,Cornell University Press,0,1991,,Thomas K. Hubbard,3
2024,Spectator Politics: Metatheatre and Performance in Aristophanes,376,total:2,University of Pennsylvania Press,0,2002,,Niall W. Slater,3.5
2026,"Myths of the Underworld Journey: Plato, Aristophanes, and the ""Orphic"" Gold Tablets",276,total:5,Cambridge University Press,0,2004,eng,Radcliffe G. Edmonds III,4
2028,Assembly of Women (Literary Classics),124,total:810,Prometheus Books,4,1997,en-GB,Aristophanes,3.76
2029,Aristophanes: Poet and Dramatist,200,total:0,Johns Hopkins University Press,0,1985,,Rosemary M. Harriott,0
2030,"Aristophanes' ""Lysistrata""",107,total:34289,Bryn Mawr College,0,1982,,J. Hilton Turner,3.85
2031,Farce: A History from Aristophanes to Woody Allen,464,total:8,Southern Illinois University Press,1,1990,,Albert Bermel,3.75
2033,"The Heroic Paradox: Essays on Homer, Sophocle, and Aristophanes",171,total:5,Cornell University Press,1,1982,,Cedric Hubbell Whitman,4.4
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,364,total:1,"Oxford University Press, USA",0,1922,grc,Aristophanes,5
2035,Aristophanes: An Author for the Stage,296,total:0,Routledge,0,1997,,Carlo Russo,0
2037,Aristophanes: Peace,214,total:392,Liverpool University Press,1,2005,,Aristophanes,3.59
2038,The Bacchae Euripides The Frogs Aristophanes,144,total:25,iUniverse,2,2003,,Francis Blessington,3.4
2039,"Aristophanes: Clouds, Acharnians, Lysistrata: A Companion to the Penguin Translation of A.H.Sommerstein",96,total:3,Bristol Classical Press,0,1991,,Kenneth James Dover,4.33
2041,Aristophanes' Male and Female Revolutions: A Reading of Aristophanes' Knights and Assemblywomen,143,total:2,Lexington Books,0,2004,,Kenneth M. De Luca,3
2043,Aristophanes and His Theatre of the Absurd,127,total:7,Bristol Classical Press,1,1991,eng,Paul Anthony Cartledge,3.86
2045,Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,1076,total:1119,Library of America,49,1995,eng,Raymond Chandler,4.48
2046,"Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window",1199,total:1345,Library of America,67,1995,eng,Raymond Chandler,4.5
2048,"The Lady in the Lake, The Little Sister, The Long Goodbye, Playback (Everyman's Library)",1016,total:267,Everyman's Library,11,2002,eng,Raymond Chandler,4.45
2049,"The High Window (Philip Marlowe, #3)",265,total:15461,Vintage Crime/Black Lizard,575,1992,eng,Raymond Chandler,4.07
2051,The Simple Art of Murder,384,total:5297,Vintage Crime/Black Lizard,163,1988,eng,Raymond Chandler,4.15
2052,"The Big Sleep (Philip Marlowe, #1)",231,total:115329,Vintage Crime,4153,1988,eng,Raymond Chandler,4.01
2053,"The Big Sleep; Farewell, My Lovely; The High Window",696,total:1364,Everyman's Library,22,2002,,Raymond Chandler,4.47
2054,"The Long Goodbye (Philip Marlowe, #6)",379,total:30750,Vintage Crime/Black Lizard,1646,1988,eng,Raymond Chandler,4.22
2055,Long Goodbye,416,total:64,Hay House,12,2003,,William H. Colby,4.16
2056,An Evening of Long Goodbyes,448,total:1264,Random House Trade Paperbacks,130,2005,eng,Paul Murray,3.61
2057,The Long Goodbye: Memories of My Father,205,total:265,Plume Books,31,2005,eng,Patti   Davis,3.82
2058,Ghost In the Shell 2: Innocence: After the Long Goodbye,196,total:274,VIZ Media LLC,12,2005,eng,Masaki Yamada,3.97
2060,"Mandie and the Long Goodbye (Mandie Books, 30)",156,total:551,Bethany House Publishers,2,1998,,Lois Gladys Leppard,3.94
2061,The Long Italian Goodbye,223,total:3,Durban House Publishing,0,2005,,Robert Benedetti,4
2067,Breaking the Spell: Religion as a Natural Phenomenon,448,total:11391,Viking Books,334,2006,eng,Daniel C. Dennett,3.89
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,588,total:14064,Simon  Schuster,241,1996,eng,Daniel C. Dennett,4.04
2070,Sweet Dreams: Philosophical Obstacles to a Science of Consciousness,199,total:396,Bradford Book,27,2006,,Daniel C. Dennett,3.76
2071,Freedom Evolves,368,total:2585,Penguin,88,2004,eng,Daniel C. Dennett,3.83
2072,Brainstorms: Philosophical Essays on Mind and Psychology,424,total:591,MIT Press,12,1981,eng,Daniel C. Dennett,3.95
2073,The Intentional Stance,388,total:293,MIT Press,15,1989,,Daniel C. Dennett,3.97
2074,Kinds of Minds: Towards an Understanding of Consciousness,192,total:1711,Basic Books,63,1997,eng,Daniel C. Dennett,3.82
2077,"Leaps of Faith: Science, Miracles & the Search for Supernatural Consolation",244,total:28,Copernicus Books,3,1999,en-US,Nicholas Humphrey,3.61
2078,Elbow Room: The Varieties of Free Will Worth Wanting,212,total:562,MIT Press,38,1984,eng,Daniel C. Dennett,3.93
2079,UFOs Over California: A True History of Extraterrestrial Encounters in the Golden State,224,total:17,Schiffer Publishing,3,2004,,Preston Dennett,4.18
2080,UFOs Over Topanga Canyon,312,total:15,Llewellyn Publications,5,1999,,Preston Dennett,4.33
2081,The Mind’s I: Fantasies and Reflections on Self and Soul,512,total:5364,Bantam Books,92,1985,eng,Douglas R. Hofstadter,4.14
2083,Out-of-Body Exploring: A Beginner's Approach,200,total:16,Hampton Roads Publishing,2,2004,,Preston Dennett,3.44
2084,"Workers, Neighbors, and Citizens: The Revolution in Mexico City",441,total:9,University of Nebraska Press,1,2001,,John Lear,3.89
2087,Recombinant DNA: The Untold Story,280,total:2,Crown Publishing Group (NY),0,1978,,John Lear,4
2091,Freud,296,total:169,Routledge,15,2005,,Jonathan Lear,4.05
2093,The Illustrated A Brief History of Time,256,total:276247,Bantam Books,64,1996,eng,Stephen Hawking,4.17
2094,A Briefer History of Time,176,total:29300,Bantam,836,2005,eng,Stephen Hawking,4.22
2095,The Universe in a Nutshell,216,total:33036,Bantam,658,2001,eng,Stephen Hawking,4.15
2096,God Created the Integers: The Mathematical Breakthroughs That Changed History,1160,total:1830,Running Press Book Publishers,51,2005,eng,Stephen Hawking,4.07
2097,The Illustrated On The Shoulders of Giants,256,total:4510,Running Press,3,2004,,Stephen Hawking,4.2
2098,Introducing Stephen Hawking,176,total:537,Totem Books,0,2002,,J.P.   McEvoy,3.78
2099,Stephen Hawking's Universe: The Cosmos Explained,304,total:1561,Basic Books,22,1998,eng,David Filkin,4.29
2100,The Future of Spacetime,224,total:347,W. W. Norton  Company,10,2003,eng,Stephen Hawking,3.94
2101,"Galileo, Darwin, and Hawking: The Interplay of Science, Reason, and Religion",213,total:11,Eerdmans,1,2005,,Phil Dowe,3.73
2102,Stephen Hawking's Universe,160,total:723,Avon,31,1989,eng,John Boslough,4.02
2103,The Nature of Space and Time,152,total:1142,Princeton University Press,40,2000,eng,Stephen Hawking,4.09
2104,The Physics of Star Trek,188,total:5590,ReganBooks,179,1996,eng,Lawrence M. Krauss,3.83
2105,"God, Time, & Stephen Hawking",224,total:17,Monarch Books,3,2001,,David  Wilkinson,3.88
2106,What's Out There: Images from Here to the Edge of the Universe,184,total:65,Duncan Baird,6,2006,,Mary K. Baumann,4.45
2107,Falconry & Hawking,352,total:74,Batsford,5,2006,eng,Phillip Glasier,4.31
2108,"The Modern Falconer: Training, Hawking & Breeding",168,total:4,Swan Hill Press,0,1994,,Diana Durman-Walters,2.75
2109,"The World Treasury of Physics, Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike",859,total:453,Back Bay Books,12,1993,eng,Timothy Ferris,4.13
2110,Stephen Hawking: A Life in Science,360,total:472,Joseph Henry Press,30,2002,,Michael  White,3.81
2111,The Theory of Everything: The Origin and Fate of the Universe,136,total:14192,Phoenix Books,7,2006,,Stephen Hawking,4.16
2112,The Art of Nonfiction: A Guide for Writers and Readers,192,total:446,New American Library,40,2001,en-US,Ayn Rand,3.96
2113,The Journals of Ayn Rand,752,total:333,NAL,14,1999,eng,Ayn Rand,3.95
2116,Essays on Ayn Rand's the Fountainhead,349,total:70,Lexington Books,1,2006,,Robert Mayhew,4.11
2117,Fountainhead (Cliffs Notes),144,total:46,Cliffs Notes,3,2000,,Andrew Bernstein,3.78
2118,"The Fountainheads: Wright, Rand, the FBI and Hollywood",231,total:3,McFarland & Company,0,2005,,Donald Leslie Johnson,4.33
2119,Fountainhead of Chinese Erotica,271,total:7,University of Hawaii Press,1,2003,,Charles R. Stone,4
2120,From the Fountainhead to the Future: And Other Essays on Art and Excellence,176,total:4,American Renaissance for the Twenty-First Century,0,2000,,Alexandra  York,3.5
2121,The Fountainhead: An American Novel,144,total:2,Twayne Publishers,0,1999,,Douglas J. Den Uyl,3
2123,"The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease, Related Dementing Illnesses, and Memory Loss in Later Life",624,total:2417,Grand Central Life & Style,6,2006,eng,Nancy L. Mace,4.24
2124,The 3-Hour Diet (TM): How Low-Carb Diets Make You Fat and Timing Makes You Thin,368,total:164,William Morrow,18,2005,,Jorge Cruise,3.3
2126,The 3-Hour Diet: On the Go,192,total:39,William Morrow Paperbacks,2,2005,en-US,Jorge Cruise,3.1
2127,The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,400,total:1608,Broadway Books,137,2004,en-US,Thom Hartmann,4.22
2128,The Divine Hours (Volume Two): Prayers for Autumn and Wintertime: A Manual for Prayer,688,total:582,Image,27,2006,,Phyllis A. Tickle,4.37
2130,Twenty-Four Hours a Day,400,total:197,Hazelden Publishing,2,1992,,Anonymous,4.56
2132,Michael Cunningham's The Hours: A Reader's Guide,96,total:26,Bloomsbury Academic,2,2003,,Tory Young,3.96
2133,Bookclub-In-A-Box Discusses the Novel the Hours by Michael Cunningham,37,total:1,Bookclub-in-a-Box,0,2005,,Marilyn Herbert,5
2135,Les Heures,247,total:122614,Pocket,12,2003,,Michael Cunningham,3.93
2136,Specimen Days,336,total:5431,Picador USA,448,2006,eng,Michael Cunningham,3.58
2137,A Home at the End of the World,342,total:17400,Picador,665,2004,eng,Michael Cunningham,3.91
2138,Laws for Creations,182,total:41,Picador USA,6,2006,,Walt Whitman,4.02
2140,Blink: The Power of Thinking Without Thinking,277,total:462078,"Little, Brown and Company",356,2005,en-US,Malcolm Gladwell,3.93
2142,Blink,400,total:15679,Thomas Nelson,503,2004,eng,Ted Dekker,4.17
2144,Blink-182: Tales from Beneath Your Mom,112,total:172,MTV Books,22,2001,eng,Mark Hoppus,4.38
