pagesNumber,Authors,Publisher,Rating,Language,RatingDistTotal,RatingDist5,RatingDist3,CountsOfReview,PublishDay,ISBN,RatingDist4,PublishMonth,Id,PublishYear,RatingDist1,RatingDist2,Name
240,SparkNotes,SparkNotes,3.62,,total:110,5:23,3:34,16,1,1411400828,4:39,22,106146,2004,1:03,2:11,Head Over Heels (Smart Novels: Vocabulary)
480,SparkNotes,SparkNotes,5,,total:2,5:02,3:00,1,7,1411402456,4:00,8,106147,2004,1:00,2:00,SparkNotes Guide to the ACT (SparkNotes Test Prep)
6,SparkNotes,SparkNotes,3.25,,total:4,5:00,3:03,0,10,1586636499,4:01,14,106148,2002,1:00,2:00,U.S. History 1492-1865 (SparkNotes SparkCharts)
272,SparkNotes,SparkNotes,4,,total:1,5:00,3:00,0,12,1586638726,4:01,31,106149,2003,1:00,2:00,5 Practice Tests for the SAT II Biology (SparkNotes Test Prep)
440,Onno van der Hart,W. W. Norton  Company,4.4,,total:186,0.283333333,3:23,8,11,0393704017,4:51,17,106150,2006,1:03,2:01,The Haunted Self: Structural Dissociation and the Treatment of Chronic Traumatization
191,Jeph Loeb,DC Comics,3.86,eng,total:7660,1.788888889,1.6375,217,9,1563892731,2.015277778,1,106151,1996,0.122916667,0.379861111,Batman: Haunted Knight
479,Chuck Williams,Time Life Medical,3.9699999999999998,,total:30,5:08,3:04,3,12,0737020512,4:16,15,106153,2000,1:01,2:01,"Williams-Sonoma Kitchen Companion: The A to Z Everyday Cooking, Equipment, and Ingredients"
480,Chuck Williams,Oxmoor House,3.9699999999999998,,total:30,5:08,3:04,1,4,0848726081,4:16,1,106155,2002,1:01,2:01,"Williams-Sonoma Kitchen Companion: The A to Z Guide to Everyday Cooking, Equipment & Ingredients"
624,Margaret Fulton,Hardie Grant,4.58,,total:38,5:26,3:02,2,4,1740662709,4:09,4,106156,2006,1:00,2:01,Margaret Fulton's Encyclopedia Of Food & Cookery: The Complete Kitchen Companion From A To Z
193,Fae Myenne Ng,Harpperen,3.5300000000000002,eng,total:2295,0.489583333,0.670833333,139,12,006097592X,0.715277778,3,106158,1993,0.083333333,0.259722222,Bone
255,Fae Myenne Ng,Hachette Books,3.51,eng,total:179,5:34,3:58,45,5,0786860979,4:57,1,106159,2008,1:04,2:26,Steer Toward Rock
288,Wendy Ho,Altamira Press,4,,total:5,5:02,3:02,0,1,0742503364,4:01,19,106160,2000,1:00,2:00,In Her Mother's House: The Politics of Asian American Mother-Daughter Writing
326,Martha J. Cutter,University of North Carolina Press,0,,total:0,5:00,3:00,0,10,0807856371,4:00,1,106161,2005,1:00,2:00,Lost and Found in Translation
368,Pierre Berton,Anchor Canada,4.13,,total:630,0.365972222,0.201388889,33,8,0385658397,0.359722222,14,106162,2001,1:04,2:11,The Invasion of Canada: 1812-1813
496,Pierre Berton,Anchor Canada,4.14,,total:352,0.295833333,3:59,23,8,0385658389,0.277083333,14,106163,2001,1:02,2:06,Flames Across the Border: 1813-1814
432,Berton Roueché,Plume,4.17,eng,total:1249,0.588194444,0.245833333,76,3,0452265886,0.484722222,30,106164,1991,1:21,2:49,The Medical Detectives
494,Pierre Berton,Basic Books,4.11,eng,total:291,0.284027778,3:44,30,12,0786713178,0.252083333,17,106165,2003,1:02,2:13,The Klondike Fever: The Life and Death of the Last Great Gold Rush
400,Berton Coffin,Scarecrow Press,4.29,,total:14,5:07,3:00,0,6,0810815338,4:06,28,106166,1982,1:01,2:00,Phonetic Readings of Songs and Arias
336,Pierre Berton,Anchor Canada,3.92,,total:192,5:57,3:50,17,5,0385660472,0.218055556,17,106167,2005,1:00,2:11,Prisoners of the North
472,Ralph Berton,Da Capo Press,4.14,,total:28,5:11,3:05,4,6,0306809370,4:11,16,106168,2000,1:00,2:01,Remembering Bix: A Memoir Of The Jazz Age
858,Stéphane Courtois,Harvard University Press,4.1,,total:720,0.454861111,0.188194444,48,10,0674076087,0.306944444,15,106169,1999,1:47,2:25,"The Black Book of Communism: Crimes, Terror, Repression"
352,Susan Ferriss,Mariner Books,3.91,,total:79,5:22,3:21,12,4,0156005980,4:32,15,106170,1998,1:00,2:04,The Fight in the Fields: Cesar Chavez and the Farmworkers Movement
104,Margo Sorenson,Perfection Learning,2.67,,total:3,5:00,3:00,0,1,0789121506,4:01,1,106171,1998,1:00,2:02,Fight in the Fields: Cesar Chavez
212,Leonard Kranser,iUniverse,0,,total:0,5:00,3:00,0,8,0595238572,4:00,8,106173,2002,1:00,2:00,Internet for Activists: A hands-on guide to Internet tactics field-tested in the fight against building El Toro Airport
384,Katie Rodan,Atria Books,3.83,,total:6,5:03,3:02,0,3,0743482050,4:00,15,106174,2005,1:00,2:01,Unblemished
214,Colleen Alexander-Roberts,Taylor Trade Publishing,3.79,,total:24,5:06,3:11,1,1,0878338993,4:07,1,106177,1995,1:00,2:00,ADHD & Teens: A Parent's Guide to Making It Through the Tough Years
80,Robert  Alexander,White Pine Press,4,,total:4,5:01,3:01,2,9,189399676X,4:02,1,106178,2006,1:00,2:00,What the Raven Said
355,Daniel Moulthrop,"New Press, The",3.67,,total:373,0.261111111,0.209027778,12,9,1595581286,0.263888889,1,106180,2006,1:07,2:29,Teachers Have It Easy: The Big Sacrifices and Small Salaries of America's Teachers
608,Alexander Haldane,University of Michigan Library,3.75,,total:4,5:01,3:02,0,9,142556528X,4:01,13,106182,2006,1:00,2:00,"Memoirs of the Lives of Robert Haldane of Airthrey, and of His Brother, James Alexander Haldane. by Alexander Haldane."
228,Lenore K. Bradley,,3,,total:1,5:00,3:01,0,6,0822309491,4:00,1,106183,1989,1:00,2:00,Robert Alexander Long: A Lumberman of the Gilded Age
165,Frederic M. Schroeder,Pontifical Institute of Mediaeval Studies,0,,total:0,5:00,3:00,0,1,0888442831,4:00,1,106184,1990,1:00,2:00,Two Greek Aristotelian Commentators on the Intellect
24,David F. Marx,Children's Press(CT),3,,total:1,5:00,3:01,0,3,0516270109,4:00,1,106187,2001,1:00,2:00,¿Qué Está Arriba Cuando Estás Abajo?/What Is Up When You Are Down?
24,Natalie M. Rosinsky,Picture Window Books,3.71,,total:17,5:04,3:06,0,1,1404832386,4:06,1,106189,2007,1:01,2:00,"El Agua/Water: Arriba, Abajo Y En Todos Lados/ Up, Down, and All Around (Ciencia Asombrosa) (Ciencia Asombrosa)"
144,Jean Anouilh,Riverhead Books,3.99,,total:1650,0.604861111,0.381944444,65,9,1573225088,0.5875,1,106197,1995,1:17,0.143055556,Becket
194,Barbara Willard,Ignatius Press,3.76,,total:126,5:38,3:37,9,5,1883937493,4:38,1,106198,2000,1:05,2:08,If All the Swords in England: A Story of Thomas Becket
64,Jasmine Becket-Griffith,Xlibris,4.5,,total:24,5:14,3:02,1,8,1599260395,4:08,12,106199,2005,1:00,2:00,Fairy: The Art of Jasmine Becket-Griffith
204,Michael Broemmel,Bewrite Books,3,,total:1,5:00,3:01,0,5,1904224431,4:00,1,106201,2002,1:00,2:00,The Miller Moth and Other Stories
288,Jean Anouilh,Bloomsbury Methuen Drama,5,,total:2,5:02,3:00,0,12,0413722600,4:00,4,106203,1997,1:00,2:00,"Anouilh Plays: 2: The Rehearsal, Becket, The Orchestra, and Eurydice"
104,Chandani Lokuge,Dangaroo Press,4,,total:3,5:01,3:01,0,4,187104913X,4:01,1,106204,1993,1:00,2:00,Moth And Other Stories
192,John R. Butler,Yale University Press,4.09,,total:35,5:12,3:07,5,7,0300068956,4:15,24,106206,1996,1:00,2:01,The Quest for Becket's Bones: The Mystery of the Relics of St. Thomas Becket of Canterbury
256,Anne J. Duggan,Bloomsbury Academic,3.12,,total:8,5:01,3:06,1,10,0340741384,4:00,29,106208,2004,1:00,2:01,Thomas Becket
272,Michael Staunton,Manchester University Press,3.55,,total:42,5:08,3:12,5,12,0719054559,4:15,7,106209,2001,1:01,2:06,The Lives of Thomas Becket
150,Fyodor Dostoyevsky,Hesperus Press,4.16,eng,total:72408,5:31849,3:11474,8,4,1843911264,4:25360,1,106210,2006,0.780555556,1.93125,Notes from the Underground
176,P.J. O'Rourke,Rugged Land,4.37,eng,total:199,0.283333333,3:23,3,8,1590710126,0.210416667,1,106211,2003,1:01,2:04,National Lampoon's 1964 High School Yearbook
208,P.J. O'Rourke,Rugged Land,4.37,,total:199,0.283333333,3:23,7,5,1590710576,0.210416667,1,106212,2005,1:01,2:04,National Lampoon: 1964 High School Yearbook: 39th Reunion Edition
96,Spencer Johnson,Vintage/Ebury,3.99,eng,total:2774,0.986111111,0.520833333,141,7,0091894506,0.752777778,3,106213,2003,0.101388889,0.190277778,Who Moved My Cheese For Teens
335,Matty Simmons,Barricade Books,3.54,,total:35,5:07,3:08,5,4,1569800022,4:14,1,106214,1994,1:03,2:03,"If You Don't Buy This Book, We'll Kill This Dog!: Life, Laughs, Love, and Death at the National Lampoon"
288,Scott Rubin,Rugged Land,3.19,,total:16,5:01,3:09,0,2,1590710185,4:04,1,106215,2004,1:01,2:01,National Lampoon's Big Book of Love
160,Edwidge Danticat,Crown,3.76,,total:285,0.256944444,0.197916667,25,8,0609609084,0.232638889,6,106216,2002,1:02,2:13,"After the Dance: A Walk Through Carnival in Jacmel, Haiti"
522,Harold J. Berman,Belknap Press,4.5,,total:26,5:16,3:03,2,9,0674022300,4:07,1,106217,2006,1:00,2:00,"Law and Revolution, II: The Impact of the Protestant Reformations on the Western Legal Tradition"
672,Harold J. Berman,Harvard University Press,4.36,eng,total:117,0.25625,3:15,18,1,0674517768,4:27,1,106218,1985,1:00,2:06,"Law and Revolution, I: The Formation of the Western Legal Tradition"
212,Zenon Bańkowski,Aberdeen University Press,0,,total:0,5:00,3:00,0,1,0080409245,4:00,1,106220,1991,1:00,2:00,Revolutions in Law and Legal Thought
454,Edmund S. Morgan,W. W. Norton & Company,4.11,,total:3154,1.1875,0.494444444,7,4,0393312887,0.852083333,1,106222,1995,0.094444444,0.186805556,American Slavery American Freedom: The Ordeal of Colonial Virginia
742,John Hope Franklin,Knopf,4.29,,total:601,0.424305556,0.175694444,25,4,0375406719,0.298611111,11,106223,2000,1:09,2:18,From Slavery to Freedom: A History of African Americans
328,Mark M. Smith,University of North Carolina Press,4.16,,total:19,5:07,3:02,2,10,0807846937,4:09,20,106224,1997,1:00,2:01,"Mastered by the Clock: Time, Slavery, and Freedom in the American South"
128,Tim McNeese,Enslow Publishers,4.5,,total:2,5:01,3:00,2,6,0766021564,4:01,1,106225,2004,1:00,2:00,"The Rise and Fall of American Slavery: Freedom Denied, Freedom Gained"
144,Betty Wood,"Farrar, Strauss & Giroux-3pl",3.37,,total:65,5:11,3:21,9,3,0809016087,4:18,4,106226,1998,1:01,2:14,The Origins of American Slavery: Freedom and Bondage in the English Colonies
136,Hornbuckle,Teacher's Pet Publications,0,,total:0,5:00,3:00,0,8,1583379916,4:00,15,106229,2005,1:00,2:00,Puzzle Pack: Bridge to Terabithia
104,Steve Liebman,"Samuel French, Inc.",4.6,,total:5,5:03,3:00,1,7,0573650101,4:02,7,106230,2017,1:00,2:00,Bridge to Terabithia
48,Book Club Novel Guide,Small Planet Communications,0,,total:0,5:00,3:00,0,2,1931376255,4:00,1,106231,2003,1:00,2:00,Bridge to Terabithia Novel Guide (Book Club Novel Guide)
124,Katherine Paterson,Turtleback Books,4,,total:423988,5:163234,3:85242,0,3,0613645820,4:142244,1,106234,2002,1:10123,2:23145,Puente Hasta Terabithia (Bridge to Terabithia)
50,Norvel Hayes,Harrison House,4.63,,total:71,5:57,3:03,1,3,0892746394,4:07,1,106235,1993,1:01,2:03,Confession Brings Possession
129,José Antonio Fortea,Ascension Press,4.13,eng,total:365,0.320833333,3:48,28,9,1932645969,0.253472222,1,106236,2006,1:07,2:23,"Interview with an Exorcist: An Insider's Look at the Devil, Demonic Possession, and the Path to Deliverance"
432,Judith Martin,Touchstone,4.18,,total:212,0.272916667,3:33,27,5,0743244176,0.220138889,17,106237,2002,1:04,2:05,Miss Manners' Guide to Rearing Perfect Children
864,Judith Martin,W. W. Norton  Company,4.29,en-US,total:1229,0.628472222,0.232638889,115,4,0393058743,0.463194444,17,106238,2005,1:11,2:31,Miss Manners' Guide to Excruciatingly Correct Behavior
128,Mark Doty,Harper Perennial,3.85,,total:288,0.266666667,0.184722222,27,3,0060752467,0.235416667,28,106239,2006,1:04,2:15,School of the Arts
768,Judith Martin,Touchstone,4.13,,total:214,0.266666667,3:34,15,11,067172228X,0.226388889,15,106240,1990,1:02,2:08,Miss Manners' Guide for the Turn-of-the-Millennium
216,Mark Doty,Harper,3.9,,total:2579,0.835416667,0.495833333,333,3,006117100X,0.765972222,13,106241,2007,0.097916667,0.220833333,Dog Years
384,Judith Martin,Three Rivers Press,4.03,,total:160,5:51,3:32,15,8,0609805398,0.215277778,10,106242,2011,1:00,2:07,"Miss Manners' Guide to Domestic Tranquility: The Authoritative Manual for Every Civilized Household, However Harried"
112,Mark Doty,Harper Perennial,4.21,eng,total:891,0.488194444,0.2125,52,9,0060951060,0.390277778,1,106243,1995,1:13,2:27,Atlantis
70,Mark Doty,Beacon Press,4.2,eng,total:1473,0.708333333,0.275694444,140,1,0807066095,0.476388889,19,106244,2002,1:23,0.129861111,Still Life with Oysters and Lemon: On Objects and Intimacy
132,Mark Doty,Harper Perennial,4.14,,total:518,0.354861111,0.191666667,23,3,0060952563,0.300694444,4,106246,1998,1:06,2:12,Sweet Machine
112,Mark Doty,University of Illinois Press,4.28,,total:1032,0.572916667,0.227777778,37,7,0252022106,0.386805556,1,106247,1995,1:08,2:34,My Alexandria
64,Mark Doty,J. Paul Getty Museum,4.08,,total:24,5:10,3:06,4,11,0892366583,4:07,7,106248,2002,1:00,2:01,Seeing Venice: Bellotto's Grand Canal
96,Mark Doty,Harper Perennial,3.87,,total:314,0.265972222,0.186805556,18,11,0060935405,0.253472222,26,106249,2002,1:02,2:15,Source
304,Mark Doty,Graywolf Press,4.26,,total:19,5:09,3:04,3,6,1555973825,4:06,1,106250,2003,1:00,2:00,Open House
64,Adrienne Rich,W. W. Norton  Company,4.2,,total:148,0.25,3:22,18,4,0393331032,0.209722222,17,106251,2007,1:01,2:03,Poetry and Commitment
224,James Thomas,W. W. Norton  Company,3.79,,total:903,0.354166667,0.306944444,91,7,0393308839,0.420833333,17,106252,1992,1:09,2:56,Flash Fiction: 72 Very Short Stories
212,Pam Calabrese MacLean,Paper Journey Press,3.15,,total:13,5:02,3:07,1,7,0977315649,4:01,1,106253,2006,1:00,2:03,Blink: Flash Fiction Before You Can Bat an Eye
160,Michael A. Arnzen,Raw Dog Screaming Press,4.08,,total:71,5:27,3:15,13,4,0974503126,4:26,30,106254,2004,1:00,2:03,100 Jolts: Shockingly Short Stories
48,Kathee Gosnell,Teacher Created Resources,3.8,,total:10,5:03,3:05,0,4,1557344256,4:02,1,106255,1993,1:00,2:00,"A Guide for Using Sarah, Plain and Tall and Journey in the Classroom"
148,W. Wade Mukhherjee,Paper Journey Press,3,,total:6,5:01,3:02,3,1,097017263X,4:01,1,106256,2004,1:01,2:01,Women Behaving Badly Fiesty Flash Fiction
72,Craige Reeves,Vantage Press,3,,total:2,5:00,3:00,0,5,0533150531,4:01,21,106258,2008,1:00,2:01,Flash Fiction
124,Jeff VanderMeer,Prime Books,3.44,,total:39,5:06,3:21,3,8,1894815920,4:09,5,106260,2003,1:01,2:02,The Day Dali Died: Poetry and Flash Fiction
84,Patricia MacLachlan,Joanna Cotler Books,4.18,,total:825,0.446527778,0.225694444,98,9,006027560X,0.384027778,1,106265,2006,1:02,2:22,"Grandfather's Dance (Sarah, Plain and Tall, #5)"
224,J. Thomas,W. W. Norton & Company,4,,total:10,5:03,3:03,3,7,0393033619,4:04,1,106266,1992,1:00,2:00,Flash Fiction: Very Short Stories
160,Ray Gonzalez,University of Arizona Press,3.8,,total:10,5:02,3:01,0,3,0816524033,4:06,1,106267,2005,1:01,2:00,The Religion Of Hands: Prose Poems And Flash Fictions
422,Tom Robbins,Bantam,4.05,,total:39772,5:14638,5.690972222,50,4,,4:14997,1,106269,1990,0.415277778,1.183333333,Skinny Legs and All
192,Mark Doty,University of Illinois Press,4.18,,total:77,5:33,3:17,4,12,0252068424,4:26,16,106270,1999,1:00,2:01,"Turtle, Swan and Bethlehem in Broad Daylight: TWO VOLUMES OF POETRY"
224,Mark Doty,Harper Perennial,4.17,,total:492,0.345833333,0.178472222,43,9,0060931973,0.305555556,19,106271,2000,1:03,2:14,Firebird
320,Mark Doty,Harper Perennial,4.32,eng,total:936,0.563888889,0.2,90,1,0060928050,0.35625,31,106274,1997,1:15,2:28,Heaven's Coast: A Memoir
68,Daniel              Hall,Penguin,3.83,eng,total:12,5:03,3:05,1,6,0140587713,4:04,1,106275,1996,1:00,2:00,Strange Relation
60,Mark Doty,J. Paul Getty Museum,3.77,,total:31,5:08,3:11,3,10,0892365986,4:10,12,106276,2000,1:00,2:02,Murano
400,George J. Sanchez,"Oxford University Press, USA",3.81,,total:304,0.263888889,0.180555556,9,3,0195096487,0.248611111,23,106278,1995,1:05,2:21,"Becoming Mexican American: Ethnicity, Culture, and Identity in Chicano Los Angeles, 1900-1945"
272,Gilda L. Ochoa,University of Texas Press,4,,total:15,5:05,3:05,1,3,0292701683,4:05,1,106279,2004,1:00,2:00,"Becoming Neighbors in a Mexican American Community: Power, Conflict, and Solidarity"
260,Bertha Pérez,Routledge,5,,total:1,5:01,3:00,0,9,0805846786,4:00,1,106280,2003,1:00,2:00,Becoming Biliterate: A Study of Two-Way Bilingual Immersion Education
246,Pam Muñoz Ryan,Scholastic Press,4.04,,total:11532,3.277777778,1.673611111,138,9,0439269695,3.027777778,1,106281,2004,0.195833333,0.458333333,Becoming Naomi Leon
74,Mark Doty,David R. Godine Publisher,4.45,,total:40,5:23,3:05,2,8,0879236981,4:12,1,106288,1987,1:00,2:00,"Turtle, Swan: Poems"
144,Mark A. Doty,Louisiana State University Press,3,,total:1,5:00,3:01,0,1,0807107581,4:00,1,106289,1981,1:00,2:00,Tell Me Who I Am: James Agee's Search for Selfhood
78,Mark Doty,David R. Godine Publisher,4.3,,total:50,5:25,3:08,0,9,0879238488,4:16,1,106291,1994,1:00,2:01,Bethlehem in Broad Daylight
384,Joan Mathews Larson,Wellspring/Ballantine,3.7,,total:106,5:33,3:22,10,1,0345435176,4:32,2,106294,2001,1:05,2:14,"Depression-Free, Naturally: 7 Weeks to Eliminating Anxiety, Despair, Fatigue, and Anger from Your Life"
111,Paul Lavin,CWLA Press (Child Welfare League of America),0,,total:0,5:00,3:00,0,5,0878687459,4:00,1,106295,1999,1:00,2:00,"Despair Turned Into Rage: Understanding and Helping Abused, Neglected, and Abandoned Youth"
352,Rodolfo F. Acuña,Verso,4.04,,total:24,5:09,3:06,1,4,1859840310,4:08,17,106296,1996,1:00,2:01,Anything But Mexican: Chicanos in Contemporary Los Angeles
133,Anita Brenner,Linnet Books,3,,total:3,5:00,3:00,0,5,0208023534,4:02,1,106297,1992,1:01,2:00,The Boy Who Could Do Anything & Other Mexican Folktales
336,Barbara Myerhoff,Plume,3.93,,total:417,0.294444444,0.190972222,2,5,0452011221,0.286111111,1,106299,1994,1:07,2:19,Number Our Days: Culture and Community Among Elderly Jews in an American Ghetto
160,Craig E. Wright,Authorhouse,0,,total:0,5:00,3:00,0,7,1410757242,4:00,2,106301,2003,1:00,2:00,"It All Adds Up: So Teach Us to Number Our Days, That We May Apply Our Hearts to Wisdom (Psalms 90 Vs12)"
136,Nancy Hecht Weil,Xlibris Corporation,0,,total:0,5:00,3:00,0,5,1425711278,4:00,1,106302,2006,1:00,2:00,To Number Our Days: With Apologies To The 90th Psalm.
160,Barbara Dee Bennett Baumgarten,Morehouse Publishing,5,,total:1,5:01,3:00,0,9,0819217654,4:00,1,106303,1999,1:00,2:00,Teach Us To Number Our Days: A Liturgical Advent Calendar
96,Steven McFadden,Element Books,5,,total:1,5:01,3:00,0,2,1852308036,4:00,1,106304,1996,1:00,2:00,Teach Us to Number Our Days: Inspirational Thoughts on Wisdom and Aging
637,Edward Albee,Harry N. Abrams,4.23,,total:155,0.259722222,3:23,2,12,1585678848,4:52,18,106308,2007,1:03,2:03,"The Collected Plays of Edward Albee, Volume 1: 1958-1965"
336,Michael Gold,PublicAffairs,3.81,eng,total:715,0.332638889,0.258333333,54,3,0786713453,0.365972222,5,106309,2004,1:12,2:45,Jews Without Money
208,Rachel Rubin,University of Illinois Press,0,,total:0,5:00,3:00,0,4,0252025393,4:00,5,106310,2000,1:00,2:00,Jewish Gangsters of Modern Literature
160,Anne Paolucci,Griffon House,2,,total:1,5:00,3:00,0,9,0918680840,4:00,1,106311,2005,1:00,2:01,From Tension to Tonic: The Plays of Edward Albee
816,Jeffery Deaver,Simon & Schuster,3.98,eng,total:14622,3.274305556,2.496527778,428,6,0739455834,4.486111111,7,106312,2005,0.100694444,0.421527778,"The Twelfth Card (Lincoln Rhyme, #6)"
168,Gerry McCarthy,St. Martin's Press,3,,total:1,5:00,3:01,0,6,0312003722,4:00,1,106313,1987,1:00,2:00,Edward Albee
150,Foster Hirsch,Creative Arts Book Company,3,,total:3,5:00,3:01,0,8,091687012X,4:01,1,106314,1978,1:00,2:01,Who's Afraid of Edward Albee?
222,Philip C. Kolin,Thorndike Press,3,,total:1,5:00,3:01,0,12,0816188750,4:00,1,106315,1986,1:00,2:00,Critical Essays on Edward Albee
395,Herman Wouk,Christian Large Print,4.07,,total:914,0.4375,0.25,59,12,0802726437,0.419444444,31,106316,1991,1:05,2:35,This is My God: A Guidebook to Judaism
936,David M. Kennedy,"Oxford University Press, USA",4.16,eng,total:4595,1.658333333,0.629166667,156,4,0195144031,1.220833333,19,106317,2001,0.104166667,0.203472222,"Freedom from Fear: The American People in Depression and War, 1929-1945"
360,Neil T. Anderson,Harvest House Publishers,4.17,,total:169,0.263194444,3:31,6,7,0736900721,4:51,1,106318,1999,1:03,2:05,Freedom from Fear: Overcoming Worry and Anxiety
329,Carl E. Olson,Ignatius Press,3.73,en-GB,total:132,5:42,3:36,14,7,1586170341,4:38,1,106319,2004,1:10,2:06,The Da Vinci Hoax: Exposing the Errors in The Da Vinci Code
304,Howard Liebgold,Citadel,3.91,,total:11,5:04,3:02,1,12,0806525916,4:04,1,106321,2004,1:01,2:00,"Freedom From Fear: Overcoming Anxiety, Phobias and Panic"
114,Mark Matteson,Executive Books,4.31,,total:81,5:47,3:09,14,4,0937539619,4:20,1,106322,2002,1:03,2:02,Freedom from Fear
150,Mark Matteson,Executive Books,3.75,,total:16,5:06,3:04,3,9,0937539449,4:04,1,106324,2005,1:02,2:00,Freedom from Fear Forever: Len's Last Lessons
160,Marci Alborghetti,ACTA Publications,3,,total:1,5:00,3:01,0,1,0879462310,4:00,1,106325,2002,1:00,2:00,Freedom from Fear: Overcoming Anxiety Through Faith
224,James V. Durlacher,Van Ness Publishing,3.88,eng,total:8,5:01,3:02,3,1,0964571315,4:05,1,106326,1997,1:00,2:00,Freedom from Fear Forever
368,Peter Johnstone,Heyday Books,4.33,,total:12,5:06,3:02,1,1,1890771236,4:04,31,106327,2002,1:00,2:00,Giants in the Earth: The California Redwoods
104,Simon Furman,IDW Publishing,3.9,eng,total:263,0.269444444,0.174305556,15,3,160010018X,0.225694444,13,106329,2007,1:05,2:14,Transformers: Stormbringer
288,David  Brooks,Simon  Schuster,3.61,,total:3870,0.715277778,0.982638889,369,3,0684853787,1.177083333,6,106330,2001,0.108333333,0.329166667,Bobos in Paradise: The New Upper Class and How They Got There
32,Christina Stiles,Goodman Games,4,,total:1,5:00,3:00,0,4,0977073815,4:01,1,106331,2006,1:00,2:00,Assault on Stormbringer Castle (Dungeon Crawl Classics #21)
40,Christina Stiles,Goodman Games,4.5,,total:2,5:01,3:00,0,10,0977073874,4:01,4,106333,2006,1:00,2:00,Dungeon Crawl Classics #22: The Stormbringer Juggernaut (Dungeon Crawl Classics)
224,P. Craig Russell,Dark Horse Books,4.34,eng,total:1185,0.636805556,0.229861111,13,7,1569713367,0.436111111,7,106334,1998,1:07,2:22,Elric: Stormbringer
48,Walt Disney Company,Crescent,4.16,,total:1140,0.603472222,0.290277778,0,12,0517661942,0.348611111,12,106338,1988,1:11,0.125,Lady and the Tramp (Disney animated series)
14,Pam Adams,Child's Play International,4.22,,total:29328,5:15518,3.826388889,4,6,0859531341,4.888888889,1,106339,2003,0.351388889,0.940277778,There Was an Old Lady Who Swallowed a Fly
320,Carl Weber,Dafina,4.35,eng,total:3678,1.635416667,0.452083333,109,1,0758215754,0.873611111,1,106340,2007,1:24,0.159722222,The First Lady
357,Renee Bernard,Pocket Books,3.61,,total:850,0.353472222,0.305555556,71,10,1416524207,0.348611111,31,106341,2006,1:39,0.138888889,"A Lady's Pleasure (Mistress Trilogy, #1)"
389,James Ellroy,Vintage,3.32,,total:733,0.265277778,0.345138889,45,9,1400032873,0.316666667,28,106342,2004,1:29,0.145138889,Destination: Morgue!
168,Graciela Limón,Arte Publico Press,3.69,,total:64,5:16,3:23,13,1,1558850732,4:19,1,106343,1993,1:01,2:05,In Search of Bernabe
201,Graciela Limón,Arte Publico Press,3.69,,total:64,5:16,3:23,0,1,155885195X,4:19,1,106344,1997,1:01,2:05,En Busca de Bernabe
360,Hester Browne,Pocket Books,3.7,eng,total:6626,1.288888889,1.602083333,348,2,1416514937,1.760416667,6,106346,2007,0.120138889,0.454861111,"Little Lady, Big Apple (The Little Lady Agency, #2)"
253,Janice Taylor,Viking Studio,3.43,,total:63,5:17,3:19,14,8,0142005088,4:14,17,106347,2006,1:08,2:05,Our Lady of Weight Loss: Miraculous and Motivational Musings from the Patron Saint of Permanent Fat Removal
352,David Salsburg,Holt Paperbacks,3.9,en-US,total:1305,0.473611111,0.346527778,151,5,0805071342,0.520833333,1,106350,2002,1:08,0.143055556,The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century
178,Annik Stahl,Microsoft Press,3.55,,total:11,5:01,3:06,0,6,0735622728,4:04,1,106351,2006,1:00,2:00,The Microsoft Crabby Office Lady Tells It Like It Is: Secrets to Surviving Office Life
400,Vicki Constantine Croke,Random House Trade Paperbacks,3.8,eng,total:1153,0.404861111,0.35,147,6,0375759700,0.486805556,13,106352,2006,1:18,0.129861111,The Lady and the Panda: The True Adventures of the First American Explorer to Bring Back China's Most Exotic Animal
1625,Scott Mueller,Que,4.15,,total:348,0.320138889,3:48,1,8,0789731738,0.244444444,27,106355,2004,1:08,2:19,Upgrading and Repairing PCs
528,Jennifer  Fulton,Alpha,2.86,,total:7,5:00,3:03,0,11,0028642392,4:02,1,106356,2001,1:01,2:01,The Complete Idiot's Guide to Upgrading and Repairing PCs
260,Scott Mueller,Que,4.67,,total:3,5:02,3:00,0,1,0789716690,4:01,1,106359,1998,1:00,2:00,"Upgrading and Repairing PCs, Quick Reference"
1656,Scott Mueller,Que,4.15,,total:348,0.320138889,3:48,0,12,0789725363,0.244444444,11,106360,2000,1:08,2:19,Upgrading and Repairing PCs (includes Student Workbook CD)
368,Scott Mueller,Que,4.57,,total:7,5:05,3:01,0,11,0789726947,4:01,2,106361,2001,1:00,2:00,Upgrading and Repairing PCs: Field Guide
428,Mary Evelyn Tucker,Harvard University Press,4.25,eng,total:8,5:04,3:00,0,8,0945454163,4:03,15,106364,1998,1:00,2:01,"Confucianism and Ecology: The Interrelation of Heaven, Earth, and Humans"
304,Charles A. O'Reilly,Harvard Business Review Press,3.7199999999999998,,total:58,5:15,3:15,7,7,0875848982,4:21,27,106370,2000,1:02,2:05,Hidden Value: How Great Companies Achieve Extraordinary Results With Ordinary People
86,Alan Govenar,Candlewick Press,3.33,eng,total:3,5:01,3:01,2,7,0763620475,4:00,11,106371,2006,1:00,2:01,Extraordinary Ordinary People: Five American Masters of Traditional Arts
